"Date","Impressions","Clicks","CPM","CTR","CPC","Video Impressions","Views","Views Ratio","CPV","iddeviceType","adTypeId"
"2019-12-04",8052687,8270,0.14437264195168642,0.10269863959694446,0.14057892345828293,0,0,0,0,0,null
"2019-12-05",8064038,8626,0.13861217216486332,0.10696874196277348,0.12958194106190588,0,0,0,0,0,null
"2019-12-06",7684113,8520,0.1380372249080668,0.11087811956955866,0.12449455802816903,0,0,0,0,0,null
"2019-12-07",7829375,8701,0.1305083444463958,0.11113275325297359,0.11743463616825653,0,0,0,0,0,null
"2019-12-08",8027107,8874,0.1334745001904173,0.11055041374183751,0.12073631899932386,0,0,0,0,0,null
"2019-12-09",8461983,8560,0.13486747596869436,0.10115832187325359,0.1333231645911215,0,0,0,0,0,null
"2019-12-10",8123975,8469,0.13205483633319895,0.10424699731350724,0.12667495442200968,0,0,0,0,0,null
"2019-12-11",8205344,8530,0.13178802209876878,0.10395664094034326,0.12677210508792497,0,0,0,0,0,null
"2019-12-12",8231696,8298,0.12807604222750693,0.10080547192218955,0.12705266865509762,0,0,0,0,0,null
"2019-12-13",8401572,8850,0.12837263502592136,0.10533742970958292,0.12186801536723164,0,0,0,0,0,null
"2019-12-14",8219281,8919,0.12115285076638699,0.1085131412346165,0.11164809108644468,0,0,0,0,0,null
"2019-12-15",8408302,9020,0.11986733731733232,0.10727492899279784,0.11173844480044345,0,0,0,0,0,null
"2019-12-16",6761507,7763,0.11651638677590662,0.11481168325345223,0.10148478227489373,0,0,0,0,0,null
"2019-12-17",6206081,7158,0.1207921238217806,0.11533848816990948,0.10472837449008103,0,0,0,0,0,null
"2019-12-18",6815937,7484,0.12058358381246775,0.10980148437404863,0.10981962994388028,0,0,0,0,0,null
"2019-12-19",7019801,7616,0.11938861728416518,0.1084931040067945,0.11004258600315127,0,0,0,0,0,null
"2019-12-20",7505681,8133,0.11243012869851517,0.10835792248564788,0.10375810657813844,0,0,0,0,0,null
"2019-12-21",7363276,8300,0.1158543202645127,0.112721565781318,0.10277919709638554,0,0,0,0,0,null
"2019-12-22",7595681,8518,0.1137037899169278,0.11214267687123775,0.10139207756515614,0,0,0,0,0,null
"2019-12-23",7669956,8099,0.11556788341419429,0.10559382609235309,0.10944568228176317,0,0,0,0,0,null
"2019-12-24",6333444,6806,0.10918708304675938,0.10746128015026264,0.10160597649133117,0,0,0,0,0,null
"2019-12-25",6888440,7298,0.10589385283170065,0.10594561323028145,0.09995114436832009,0,0,0,0,0,null
"2019-12-26",8475801,9185,0.10951558908709631,0.10836733896890688,0.10105959058247142,0,0,0,0,0,null
"2019-12-27",8999513,9419,0.10982382822270495,0.10466121889039996,0.10493268603885764,0,0,0,0,0,null
"2019-12-28",8901788,9929,0.11002372002119126,0.11153938961476055,0.09864113511934737,0,0,0,0,0,null
"2019-12-29",8974314,9396,0.10926271408600144,0.10469881040489556,0.10435907883141762,0,0,0,0,0,null
"2019-12-30",8975927,9238,0.11093492154069434,0.102919731856108,0.10778780661398571,0,0,0,0,0,null
"2019-12-31",7342027,7820,0.1083710792401063,0.10651009591765324,0.10174723654731457,0,0,0,0,0,null
"2020-01-01",8624869,8984,0.10885621850024621,0.10416390092417636,0.1045047444790739,0,0,0,0,0,null
"2020-01-02",2806642,2594,0.11007049566706406,0.09242361512440846,0.11909347575173478,0,0,0,0,0,null
